Elapsed time,vals
0,2044
1.00E-04,2044
0.0002,2044
0.0003,2044
0.0004,2044
0.0005,2046
0.0006,2051
0.0007,2055
0.0008,2061
0.0009,2063
0.001,2065
0.0011,2067
0.0012,2068
0.0013,2067
0.0014,2067
0.0015,2064
0.0016,2060
0.0017,2055
0.0018,2052
0.0019,2048
0.002,2045
0.0021,2045
0.0022,2044
0.0023,2043
0.0024,2044
0.0025,2048
0.0026,2053
0.0027,2058
0.0028,2062
0.0029,2063
0.003,2065
0.0031,2066
0.0032,2068
0.0033,2067
0.0034,2065
0.0035,2063
0.0036,2059
0.0037,2055
0.0038,2052
0.0039,2048
0.004,2048
0.0041,2048
0.0042,2046
0.0043,2047
0.0044,2048
0.0045,2049
0.0046,2053
0.0047,2059
0.0048,2063
0.0049,2064
0.005,2067
0.0051,2069
0.0052,2070
0.0053,2069
0.0054,2065
0.0055,2063
0.0056,2060
0.0057,2057
0.0058,2053
0.0059,2049
0.006,2046
0.0061,2046
0.0062,2045
0.0063,2045
0.0064,2045
0.0065,2046
0.0066,2052
0.0067,2056
0.0068,2060
0.0069,2061
0.007,2063
0.0071,2066
0.0072,2067
0.0073,2066
0.0074,2063
0.0075,2059
0.0076,2054
0.0077,2052
0.0078,2049
0.0079,2045
0.008,2043
0.0081,2041
0.0082,2040
0.0083,2041
0.0084,2041
0.0085,2043
0.0086,2048
0.0087,2053
0.0088,2058
0.0089,2060
0.009,2063
0.0091,2064
0.0092,2066
0.0093,2065
0.0094,2064
0.0095,2060
0.0096,2057
0.0097,2053
0.0098,2051
0.0099,2048
0.01,2046
0.0101,2046
0.0102,2047
0.0103,2048
0.0104,2049
0.0105,2051
0.0106,2056
0.0107,2063
0.0108,2067
0.0109,2068
0.011,2071
0.0111,2072
0.0112,2073
0.0113,2075
0.0114,2073
0.0115,2070
0.0116,2068
0.0117,2063
0.0118,2061
0.0119,2056
0.012,2054
0.0121,2054
0.0122,2052
0.0123,2052
0.0124,2052
0.0125,2054
0.0126,2058
0.0127,2064
0.0128,2068
0.0129,2071
0.013,2072
0.0131,2072
0.0132,2073
0.0133,2072
0.0134,2069
0.0135,2065
0.0136,2061
0.0137,2058
0.0138,2054
0.0139,2049
0.014,2048
0.0141,2046
0.0142,2046
0.0143,2045
0.0144,2045
0.0145,2046
0.0146,2050
0.0147,2053
0.0148,2057
0.0149,2060
0.015,2061
0.0151,2063
0.0152,2065
0.0153,2065
0.0154,2063
0.0155,2060
0.0156,2057
0.0157,2051
0.0158,2046
0.0159,2044
0.016,2043
0.0161,2042
0.0162,2042
0.0163,2041
0.0164,2041
0.0165,2043
0.0166,2046
0.0167,2051
0.0168,2056
0.0169,2060
0.017,2062
0.0171,2064
0.0172,2065
0.0173,2065
0.0174,2063
0.0175,2061
0.0176,2058
0.0177,2055
0.0178,2051
0.0179,2046
0.018,2043
0.0181,2043
0.0182,2041
0.0183,2041
0.0184,2041
0.0185,2044
0.0186,2049
0.0187,2053
0.0188,2058
0.0189,2060
0.019,2062
0.0191,2063
0.0192,2064
0.0193,2063
0.0194,2059
0.0195,2057
0.0196,2057
